designation,full_name,close_approach_date,distance_au,dist_km,dist_lunar,distance_min_au,distance_max_au,velocity_km_s,v_rel_kmh,velocity_infinity_km_s,absolute_magnitude,is_future
2023 BB1,       (2023 BB1),2015-01-17 05:05,0.0885034919290269,13239934.0,34.44,0.0381377429815211,0.141815510091745,18.4393837558765,66382.0,18.437750986764,23.34,False
2020 TB9,       (2020 TB9),2015-01-17 08:18,0.044815835646464,6704354.0,17.44,0.0443099481303152,0.0470832808542549,4.91347253047832,17689.0,4.90135740057875,25.7,False
2018 WH1,       (2018 WH1),2015-01-17 13:28,0.0857517237778225,12828275.0,33.37,0.0845946636210402,0.0869201597541883,5.48265968903058,19738.0,5.47698943072544,28.6,False
2015 BP513,       (2015 BP513),2015-01-18 17:09,0.0015986842416499,239160.0,0.62,0.0015955928402077,0.0016017750638917,7.75352243905938,27913.0,7.53550063840178,26.7,False
2015 BA513,       (2015 BA513),2015-01-18 21:31,0.0102189915116782,1528739.0,3.98,0.0101841934956947,0.0102537892624069,21.6944946350432,78100.0,21.6824726791883,25.78,False
2015 AK1,       (2015 AK1),2015-01-18 23:17,0.014312569538374,2141130.0,5.57,0.0143123803044115,0.0143127587723374,12.1635206870827,43789.0,12.1482059714012,24.27,False
2015 BB,       (2015 BB),2015-01-19 01:20,0.0345780369230384,5172801.0,13.46,0.0344784533019729,0.0346776201855492,15.7759419222557,56793.0,15.7710567039939,25.0,False
2015 BD509,       (2015 BD509),2015-01-19 06:41,0.0544988605343866,8152913.0,21.21,0.0542434262943008,0.0547542938260715,15.6875754982458,56475.0,15.6844586744494,23.3,False
2015 BK510,       (2015 BK510),2015-01-19 09:14,0.0183549162367711,2745856.0,7.14,0.0181646722050734,0.0185451565242016,17.2074250356552,61947.0,17.198986821138,25.7,False
2015 BP509,       (2015 BP509),2015-01-19 12:13,0.0043014613314284,643489.0,1.67,0.0042924173541004,0.0043105051391372,15.5337587687001,55922.0,15.4938307010409,27.8,False
2015 BA4,       (2015 BA4),2015-01-19 17:56,0.0720757582952449,10782380.0,28.05,0.0714810065396392,0.072670495608471,7.02124582032968,25276.0,7.0159787164298,25.2,False
2015 BC,       (2015 BC),2015-01-20 03:50,0.0042212966144041,631497.0,1.64,0.004211704298183,0.00423088879307,19.7383387580696,71058.0,19.7063344737142,24.0,False
2023 MC1,       (2023 MC1),2015-01-20 04:02,0.0913610141755848,13667413.0,35.55,0.0683223535642143,0.115533944347575,6.14991134727907,22140.0,6.14516728775094,25.39,False
2015 BP,       (2015 BP),2015-01-20 04:16,0.0046682190313519,698356.0,1.82,0.0046371534289901,0.0046992820934909,12.6970550753969,45709.0,12.6520222733014,28.1,False
2015 BE511,       (2015 BE511),2015-01-20 13:06,0.0010794310883886,161481.0,0.42,0.0010752245253215,0.0010836359621282,9.46303080307952,34067.0,9.19848522388134,28.6,False
2015 CH1,       (2015 CH1),2015-01-20 19:02,0.0610506292988589,9133044.0,23.76,0.0606765012990209,0.0614247508687891,8.11042914098026,29198.0,8.10504616397771,25.25,False
2015 BD,       (2015 BD),2015-01-21 05:12,0.049719820946437,7437979.0,19.35,0.0495012285383268,0.0499384116908078,11.1188615562957,40028.0,11.1140407838035,24.0,False
2018 XE4,       (2018 XE4),2015-01-22 06:07,0.0976653609918816,14610530.0,38.01,0.0976599150165584,0.0976708069679377,7.88171338689679,28374.0,7.87825123151864,26.4,False
2015 DA54,       (2015 DA54),2015-01-22 10:21,0.0695533398514832,10405032.0,27.07,0.0695528986703532,0.0695537810327199,23.4265275504087,84335.0,23.4248922347052,20.88,False
2015 CZ39,       (2015 CZ39),2015-01-23 06:53,0.0598692931297062,8956319.0,23.3,0.0582823971980223,0.0614561772448508,17.1776734505634,61840.0,17.175082395519,23.0,False
2019 BU3,       (2019 BU3),2015-01-23 16:33,0.0111153490326116,1662833.0,4.33,0.0077352430146355,0.0209170781746721,4.82627171816074,17375.0,4.77634538899263,29.1,False
2015 BQ512,       (2015 BQ512),2015-01-23 22:43,0.0572254587090851,8560807.0,22.27,0.0568561194753715,0.0575947951901115,12.4074029632072,44667.0,12.4036497098722,25.5,False
2014 QJ362,       (2014 QJ362),2015-01-24 02:31,0.0833813874090806,12473678.0,32.45,0.0818841405844205,0.0879683785505517,8.45260049483795,30429.0,8.44881911720369,22.8,False
2015 BW512,       (2015 BW512),2015-01-24 05:19,0.0290697194102266,4348768.0,11.31,0.0288677174345766,0.0292717163516103,10.0394540113454,36142.0,10.0303200529477,25.2,False
2017 SM2,       (2017 SM2),2015-01-24 06:07,0.0944322801659442,14126868.0,36.75,0.0923963309369317,0.0968680899251838,9.06526971771752,32635.0,9.06215667037085,27.3,False
2022 CC1,       (2022 CC1),2015-01-24 08:30,0.0145295531789199,2173590.0,5.65,0.0141774702475229,0.0290783018484747,5.61554294663812,20216.0,5.58279103317133,27.12,False
2015 AP44,       (2015 AP44),2015-01-24 12:27,0.0305241818616988,4566353.0,11.88,0.0304166700524483,0.030631688410808,5.02076388788114,18075.0,5.00334772705885,26.2,False
2015 BO515,       (2015 BO515),2015-01-24 14:39,0.0816625488130643,12216543.0,31.78,0.0782685602558232,0.0850564983815159,18.892286891504,68012.0,18.8905597626248,24.2,False
2015 BK4,       (2015 BK4),2015-01-25 01:25,0.0136866878383634,2047499.0,5.33,0.0136533623860645,0.0137200127801352,11.1037088860876,39973.0,11.0861624383759,24.9,False
2015 CC1,       (2015 CC1),2015-01-25 02:14,0.0555291405145937,8307041.0,21.61,0.05505516212329,0.056003115745956,12.5703212154022,45253.0,12.5665034346381,23.8,False
2015 BJ311,       (2015 BJ311),2015-01-25 08:44,0.0893524331350273,13366934.0,34.77,0.0891391403926257,0.089565724555096,6.24880044067336,22496.0,6.24402651948814,24.5,False
2015 BF,       (2015 BF),2015-01-25 10:28,0.023922370562477,3578736.0,9.31,0.0238426550766659,0.0240020850675846,10.9991006889983,39597.0,10.9889697192128,26.6,False
2026 FA4,       (2026 FA4),2015-01-25 17:55,0.0590008484601991,8826401.0,22.96,0.0583345709368015,0.0892715671959579,12.1158774548126,43617.0,12.1121495394255,26.117,False
2019 BO2,       (2019 BO2),2015-01-25 21:30,0.0276806159667469,4140961.0,10.77,0.0169317629784934,0.107494386149879,17.0148708486634,61254.0,17.009212624263,26.1,False
357439,357439 (2004 BL86),2015-01-26 16:20,0.0080187816276451,1199593.0,3.12,0.0080187809237681,0.0080187823315221,15.6723724153787,56421.0,15.6511564263082,19.29,False
2015 AK45,       (2015 AK45),2015-01-26 21:12,0.012161807348896,1819380.0,4.73,0.0121607568720916,0.0121628578246331,8.60012667270389,30960.0,8.57461411254448,26.4,False
2015 CX12,       (2015 CX12),2015-01-26 23:43,0.0928451571883521,13889438.0,36.13,0.0928442285899245,0.0928460857870226,14.6428684518495,52714.0,14.6409084521395,20.0,False
2015 BM,       (2015 BM),2015-01-27 13:12,0.0877458204010893,13126588.0,34.15,0.0872222786206438,0.0882693526072115,6.11567002367264,22016.0,6.11070274779789,25.7,False
2021 BJ3,       (2021 BJ3),2015-01-27 14:25,0.0353913863981599,5294476.0,13.77,0.0287320503038729,0.0460407571993702,10.6431061733265,38315.0,10.6360301251611,25.1,False
2015 BQ,       (2015 BQ),2015-01-27 21:46,0.0718494741526731,10748528.0,27.96,0.0715756199641782,0.0721233271767998,11.4439645671068,41198.0,11.4407236064472,23.8,False
2015 BE92,       (2015 BE92),2015-01-29 01:25,0.0083136579127763,1243706.0,3.24,0.0083136091117516,0.0083137067137731,6.05188553848876,21787.0,5.99869403485024,28.1,False
2015 BG92,       (2015 BG92),2015-01-29 06:09,0.0290140488598037,4340440.0,11.29,0.0290119411271238,0.0290161565894326,4.23085694061279,15231.0,4.20909517985315,25.1,False
2021 BL3,       (2021 BL3),2015-01-29 19:01,0.0995715980521642,14895699.0,38.75,0.0185702466725915,0.229103765916905,27.4416445859729,98790.0,27.4406694291565,24.71,False
2015 BD511,       (2015 BD511),2015-01-30 00:48,0.011467966306318,1715583.0,4.46,0.011446716890317,0.0114892156234798,19.2437068276245,69277.0,19.2316294256796,26.6,False
2015 BE,       (2015 BE),2015-01-30 08:25,0.0796379978791959,11913675.0,30.99,0.0790694161961778,0.080206576200147,12.1317277083197,43674.0,12.128969552861,24.9,False
2020 BN12,       (2020 BN12),2015-01-30 08:50,0.0177801280085459,2659869.0,6.92,0.0032816477236871,0.0436960548043373,7.12623488620226,25654.0,7.10517482896533,25.9,False
2015 BW516,       (2015 BW516),2015-01-30 17:09,0.0094429539218708,1412646.0,3.67,0.0094042679861905,0.0094816384729909,11.3981555445208,41033.0,11.3733732054684,27.6,False
2015 CF,       (2015 CF),2015-01-31 01:08,0.0628984253849302,9409471.0,24.48,0.062694988684813,0.063101860493536,8.43508831117911,30366.0,8.43006474309847,23.5,False
2017 BG136,       (2017 BG136),2015-01-31 03:38,0.0947457245484463,14173759.0,36.87,0.0754199287231418,0.122768835454413,14.16542220078,50996.0,14.1634367750366,25.98,False
2015 CB,       (2015 CB),2015-02-02 05:11,0.0539134175723569,8065332.0,20.98,0.0539132043822502,0.0539136307624758,9.91323947795906,35688.0,9.90825282503791,23.25,False
2008 CQ,       (2008 CQ),2015-02-02 05:31,0.0409900140716867,6132019.0,15.95,0.0104983900212619,0.167008355128377,12.0216620827022,43278.0,12.016253699244,25.4,False
2015 CY12,       (2015 CY12),2015-02-02 21:38,0.0651889078780578,9752122.0,25.37,0.0648714157563937,0.065506399524795,20.8264381374937,74975.0,20.8244754818158,22.2,False
2015 BC518,       (2015 BC518),2015-02-03 00:06,0.0100337650966576,1501030.0,3.9,0.009985010751872,0.0100825136622894,6.5905742188209,23726.0,6.55015770338445,26.8,False
2015 CE1,       (2015 CE1),2015-02-03 09:47,0.0258434247433216,3866121.0,10.06,0.0257019323406616,0.0259849165869883,21.3521667941437,76868.0,21.3473376579668,24.6,False
2015 CG13,       (2015 CG13),2015-02-03 11:11,0.0232360214272495,3476059.0,9.04,0.0230502319825514,0.0234218106919153,35.2876965911071,127036.0,35.2844468611346,24.1,False
2015 CP,       (2015 CP),2015-02-03 12:32,0.0058010203831624,867820.0,2.26,0.0057628681798974,0.005839171867609,24.9818364834446,89935.0,24.9634438673587,26.3,False
454094,454094 (2013 BZ45),2015-02-03 20:27,0.0646446087805505,9670696.0,25.16,0.064644607244572,0.0646446103165291,6.81094845969415,24519.0,6.80489413764519,21.87,False
2015 CZ12,       (2015 CZ12),2015-02-04 06:18,0.034309136995822,5132574.0,13.35,0.0340999714972815,0.0345182968771296,8.39637453142965,30227.0,8.38712009099044,25.4,False
2016 BQ,       (2016 BQ),2015-02-04 09:24,0.0568690416949385,8507488.0,22.13,0.0568677631441606,0.0568703202461367,6.28950616519876,22642.0,6.28205237232206,26.54,False
2020 BA13,       (2020 BA13),2015-02-04 20:27,0.0713541729152907,10674432.0,27.77,0.0030910274168808,0.165488869638765,12.1473707092517,43731.0,12.1442962718324,28.9,False
2015 BH514,       (2015 BH514),2015-02-04 20:39,0.0568682859527038,8507374.0,22.13,0.055719508147642,0.0580170532579261,20.3731916792073,73343.0,20.3708917860499,23.2,False
2015 DF198,       (2015 DF198),2015-02-05 12:07,0.0704386238912443,10537468.0,27.41,0.0699945953023771,0.0708826531033858,22.4549492875489,80838.0,22.4532646529861,23.1,False
2015 BX509,       (2015 BX509),2015-02-05 15:24,0.0904693690979796,13534025.0,35.21,0.0901454445687626,0.0907932928043208,12.8892676364207,46401.0,12.8869824530553,22.89,False
2015 DJ155,       (2015 DJ155),2015-02-05 23:40,0.0824720328307331,12337641.0,32.1,0.0824718697237679,0.08247219593775,10.5217892285216,37878.0,10.5187182311626,23.99,False
2022 DG,       (2022 DG),2015-02-06 05:43,0.071046882671887,10628462.0,27.65,0.008535505009376,0.135796001680653,7.19775317950137,25912.0,7.19254090048019,27.24,False
2015 DT53,       (2015 DT53),2015-02-06 13:08,0.0499339435366565,7470012.0,19.43,0.0496142866860422,0.0502535920427164,7.19182939180581,25891.0,7.18440601832777,25.5,False
2026 CQ4,       (2026 CQ4),2015-02-06 23:06,0.0985346360578425,14740572.0,38.35,0.0748562037960901,0.122325386126806,8.9746264586975,32309.0,8.97161289774593,27.6,False
2015 CM13,       (2015 CM13),2015-02-07 01:59,0.0203268062065554,3040847.0,7.91,0.0202615483996834,0.0203920633409168,12.4462041200499,44806.0,12.4356677708413,23.5,False
2009 DT10,       (2009 DT10),2015-02-07 04:17,0.0548246669660767,8201653.0,21.34,0.0548241109006949,0.054825223032434,13.2608643782932,47739.0,13.2571989515276,22.84,False
2015 CD1,       (2015 CD1),2015-02-07 15:27,0.0054021772796332,808154.0,2.1,0.0053887112396546,0.0054156430435874,5.40350494353364,19453.0,5.31144229100118,28.2,False
2021 XP3,       (2021 XP3),2015-02-07 18:41,0.0531168099598161,7946162.0,20.67,0.0521886497192876,0.101429980171809,9.90237880637113,35649.0,9.89731179400745,25.71,False
2015 BF92,       (2015 BF92),2015-02-07 22:08,0.0218622767118167,3270550.0,8.51,0.021795039373756,0.0219295135372118,13.993904760792,50378.0,13.9851928531602,24.0,False
2015 CB1,       (2015 CB1),2015-02-08 02:37,0.0225431794716658,3372412.0,8.77,0.0224715039523568,0.0226148532765463,7.9859385684524,28749.0,7.97112450425818,25.5,False
2015 CL,       (2015 CL),2015-02-08 22:39,0.0110878980054781,1658726.0,4.32,0.01108778598635,0.0110880100246044,14.5065692687109,52224.0,14.4899945336679,25.52,False
2015 CM,       (2015 CM),2015-02-09 05:40,0.0216247308626165,3235014.0,8.42,0.0215882384926223,0.0216612224129004,6.00644701815245,21623.0,5.98589816820858,26.1,False
2015 DZ180,       (2015 DZ180),2015-02-09 07:24,0.0813406182940892,12168383.0,31.66,0.0807556447449645,0.0819255821664181,6.78247386739595,24417.0,6.77764248439168,25.6,False
2013 BS45,       (2013 BS45),2015-02-09 11:16,0.0894101208958986,13375564.0,34.8,0.0894098827427106,0.0894103590490867,5.54335971363862,19956.0,5.53798118661644,25.9,False
2015 BM510,       (2015 BM510),2015-02-10 21:01,0.0354783189710218,5307481.0,13.81,0.0354780110121978,0.0354786269297935,3.13388333668973,11282.0,3.1098266063985,25.04,False
2015 DE54,       (2015 DE54),2015-02-10 21:30,0.0456464876453847,6828617.0,17.76,0.0449053365854258,0.0463876342579277,24.9087361486156,89671.0,24.9063926012806,24.4,False
2015 CH13,       (2015 CH13),2015-02-11 06:17,0.0018872950944654,282335.0,0.73,0.0018775772232285,0.0018970118998386,15.2939723536821,55058.0,15.2013813340406,28.6,False
2015 CT13,       (2015 CT13),2015-02-11 09:26,0.0047366983630923,708600.0,1.84,0.0047348542585266,0.0047385424306652,6.49271694664971,23374.0,6.40549270721868,26.0,False
2015 CG,       (2015 CG),2015-02-11 13:14,0.0182186526769473,2725472.0,7.09,0.0181753970920767,0.0182619078626346,12.07805800164,43481.0,12.0659431848089,25.6,False
2018 PN22,       (2018 PN22),2015-02-11 19:41,0.0207410100829259,3102811.0,8.07,0.0206134677339038,0.020869240044472,2.39637125817318,8627.0,2.3421499967623,27.5,False
482650,482650 (2013 BK18),2015-02-12 08:41,0.0812961399616318,12161729.0,31.64,0.0812961377546004,0.0812961421686633,18.6962960379819,67307.0,18.6945429358524,19.68,False
